N_N, Type_Host,Type_Loc,Type_Dir_cluster,Type_Dir,Type_NS,P_of_Sp,P_of_Sp_cluster,Host_Lemma,Host_Trans,
469,human_pro,,,lat,manner,pro_GEN__OBL,pro_OBL,инщубда,3sg__GEN (гьSвда.GEN),
470,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ми́гъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
471,building,in_inside.location,motion towards (lat__term),lat,,n,n,дача,дача,
472,event,,,lat,cause -,n,n,бертин,свадьба,
473,edge_narrow.space,near_contact,,ess,state,n,n,бай,край,
474,quantifier,in_inside.location,motion towards (lat__term),lat,,adj,adj,бакъаб,любой,
475,location_generic,in_inside.location,motion towards (lat__term),lat,,n,n,бакьи,середина ,
476,location_generic,in_inside.location,motion towards (lat__term),lat,,n,n,бакьи,середина ,
477,geo_water,near,motion towards (lat__term),lat,,n,n,регьа,море,
478,container,in_container,motion towards (lat__term),lat,,n,n,гъармасса,сундук,
479,location,in_inside.location_settlement,motion towards (lat__term),lat,,n,n,шагьар,город,
480,time_span,,,ess,,n,n,баран,осень,
481,institution,,,lat,,n,n,батагъ,рыбные промыслы,
482,geo_item,near_contact,motion towards (lat__term),lat,,n,n,ру́ша,дерево,
483,institution,in_institution,,lat,,n,n,школа,школа,
484,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
485,event,,,lat,attr,n,n,канцерт ,концерт,
486,abstract,near_contact,,lat,unclear,num,num,бугъуцIалида,сорок,
487,clothes,near_contact_forced_as part,motion towards (lat__term),lat,,n,n,жила,платье,
488,event,,,lat,,n,n,бертин,свадьба,
489,event,,,lat,,n,n,бертин,свадьба,
490,item,in_inside.location,absence of movement__motion towards,ess__lat,,n,n,бешен,гнездо_ постель,
491,mass,inter_ingredient,motion towards (lat__term),lat,,n,n,щинв,молоко,
492,institution,in_institution,,lat,,n,n,школа,школа,
493,dexis,in_inside.location,absence of movement,ess,,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
494,mass,inter,motion towards (lat__term),lat,,n,n,рикьи,мясо,
495,abstract_state_unpleasant,,,,cause -,n,n,сули,стыд ,
496,container,in_container,motion towards (lat__term),lat ,,n,n,къегьен,мешок,
497,container,in_container,motion towards (lat__term),lat,,n,n,гъармасса,сундук,
498,institution,in_institution,,lat,,n,n,школа,школа,
499,institution,in_institution,,lat,,n,n,институт,институт,
500,aggregate,inter,motion towards (lat__term),lat,,n,n,и́ша,стадо,
501,aggregate,inter,motion towards (lat__term),lat,,n,n,и́ша,стадо,
502,geo,in_inside.location,motion towards (lat__term),lat,,n,n,мигъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
503,location_pp_antropo,,,lat,,adv,adv,бесхъе,"позади; сзади_ потом",
504,time_point,,,source,,adv,adv,гье́на,теперь,
505,institution,,,lat,,n,n,сутІ,суд,
506,event,,,ess,,n,n,бертин,свадьба,
507,,,,,unclear,n,n,unclear,,
508,deixis,in_inside.location,absence of movement,ess,,adv__DEM,adv,гьалълъа,здесь_ сюда,
509,container_dish,3D_contact_layer,prolative__prosecutive,ess__prosecutive,,n,n,буралъи,кувшин,
510,aggregate,inter,motion towards (lat__term),lat,,n,n,и́ша,стадо,
511,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
512,container,in_container,,lat,target of sense perception,n,n,ишкаб,шкаф,
513,building,in_room,motion towards (lat__term),lat,,n,n,вагзал,вокзал,
514,edge_narrow.space,near_contact,motion towards (lat__term),lat,,n,n,ба́й,край,
515,institution,in_institution,,lat,,n,n,а́рми,армия,
516,container,in_container,motion towards (lat__term),lat,,n,n,видра,ведро,
517,time_span,,,source,,adv,adv,бесхъе,"позади; сзади_ потом",
518,building,in_room,motion towards (lat__term),lat,,n,n,ушкол,школа,
519,deixis,,motion towards (lat__term),lat,,adv__DEM,adv,галълъа,там_ туда,
520,container_dish,in_container,motion towards (lat__term),lat,,n,n,гарда,большая чаша,
521,abstract,,,,motive,v,verbal forms,гвай,помочь,
522,container,in_container,motion towards (lat__term),lat,,n,n,гвала,сумка,
523,event,,,lat,,n,n,гъазават,борьба за веру_ священная война,
524,event,,,lat,,n,n,гъазават,борьба за веру_ священная война,
525,mass,inter,motion towards (lat__term),lat,,n,n,маква,пища,
526,container,in_container,motion towards (lat__term),lat,,n,n,гъурмасса,сундук,
527,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
528,location_unclear,,,,,adv,adv,гьагъихабýлълъу,на виду,
529,mass,,,,transformation_result,n,n,гьаба,уголь,
530,mass,inter_ingredient,motion towards (lat__term),lat,,n,n,щинв,молоко,
531,deixis,in_inside.location,motion towards (lat__term),lat,,adv__DEM,adv,гьалълъа,здесь_ сюда,
532,edge_narrow.space,near_contact,fictive motion,abl,,n,n,ба́й,край,
533,bodypart,in_hole,,lat,manner,n,n,гьантIукIа,ухо,
534,toponym,in_inside.location,motion towards (lat__term),lat,,n,n,гьарчIчIа,"равнина_ ровное место; поле; поляна",
535,dexis,,,,add,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
536,container,in_container,motion towards (lat__term),lat,,n,n,гьинкIуш,закром_ амбар,
537,,,,,,,,unclear,,
538,dexis,in_inside.location,motion towards (lat__term),lat,,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
539,deixis,in_inside.location,absence of movement,ess,,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
540,institution,in_institution,,lat,,n,n,институт,институт,
541,abstract_status,,,lat ,transformation_result__change of status,n,n,даража,должность,
542,event,,,lat,,n,n,дарцц__дарц,урок,
543,item,near,motion towards (lat__term),lat,,n,n,даска,доска,
544,deixis,in_inside.location,absence of movement,ess,,adv,adv,долълъа,там,
545,dexis,in_inside.location,absence of movement,ess,,adv,adv,долълъа,там,
546,edge_narrow.space,in_inside.location,absence of movement,ess,,n,n,беххи,край (нижний),
547,container_quazi,in_hole,,path,,n,n,дурна,бинокль,
548,location_remote,in_inside.location,motion towards (lat__term),lat,,unclear,unclear,джандарманалълъа,в ад,
549,location_remote,in_inside.location,motion towards (lat__term),lat,,n,n,жагьандаман,преисподня_ тартарары,
550,location_remote,in_inside.location,motion towards (lat__term),lat,,n,n,жагьандаман,преисподня_ тартарары,
551,mass,inter,motion towards (lat__term),lat,,n,n,рикьи,мясо,
552,bodypart__openning,in_hole,motion towards (lat__term),lat,,n,n,анлълъа,рана,
553,event,,,lat,,n,n,заседани,заседание,
554,location,in_inside.location,motion towards (lat__term),lat,,n,n,зийарат,зиярат (место полодничества),
555,event,,,lat,,n,n,зикру,зикр (моление с беспрерывным повторени-ем имени Аллаха),
556,institution,in_institution,,lat,,n,n,институт,институт,
557,event,,,lat,,n,n,кино́,кино_ фильм,
558,institution,in_institution,,lat,,n,n,а́рми,армия,
559,container,in_container,motion towards (lat__term),lat,,n,n,касса,касса,
560,institution,,,lat,,n,n,химчистка?,химчистка,
561,abstract,,,,unclear,n,n,на,"вещь_ предмет; явление",
562,institution,in_institution,,lat,,n,n,школа,школа,
563,toponym,in_inside.location,motion towards (lat__term),lat,,n,n,масква?,москва,
564,institution,in_institution,,lat,,n,n,институт,институт,
565,geo_water,inter__in_inside.location,motion towards (lat__term),lat,,n,n,регьа,море,
566,aggregate,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
567,geo_water,inter,motion towards (lat__term),lat,,n,n,инцци,родник,
568,aggregate,inter,motion towards (lat__term),lat,,n,n,и́ша,стадо,
569,building,in_room,motion towards (lat__term),lat,,n,n,искалад,склад,
570,container_dish,in_container,motion towards (lat__term),lat,,n,n,истакан,стакан,
571,measuring_unit,in_container,,lat,math:consist of,n,n,ссахIи,сах (мерка_ равная по весу приблизительно 2_5 кг._ а по объему – четыре йакъе-банки),
572,institution,in_institution,,lat,,n,n,йасли,ясли,
573,building_room,in_room,motion towards (lat__term),lat,,n,n,кабинет,кабинет,
574,text,inter_abstract,,lat,,n,n,казет,газета,
575,institution,,,ess,,n,n,калас,класс,
576,container,in_container,motion towards (lat__term),lat,,n,n,камсса,лоток_ ёмкость_ где собирается мука с жер-новов мельницы,
577,institution,in_room,,lat,,n,n,кансилар ,канцелярия,
578,event,,,lat,,n,n,канцерт,концерт,
579,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
580,clothes,on,,path,,n,n,кастум,костюм,
581,event,,,lat,,n,n,дарцц__дарц,урок,
582,event,,,lat,,n,n,кино́,кино_ фильм,
583,abstract,,,,unclear purpose?,n,n,къвараб,надобность_ нужда,
584,abstract,,,,unclear purpose?,n,n,къвараб,надобность_ нужда,
585,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
586,container,in_container,motion towards (lat__term),lat,,n,n,къегьен,мешок,
587,cardinal directions,unclear,motion towards (lat__term),lat,,n,n,къирба,рел. юг (сторона_ к которой обращаются мусульмане во время молитвы) ,
588,cardinal directions,unclear,motion towards (lat__term),lat,,n,n,къирба,рел. юг (сторона_ к которой обращаются мусульмане во время молитвы) ,
589,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
590,building_хозпостройки,in_room,motion towards (lat__term),lat,,n,n,къуру,"помещение для телят; курятник_ лачуга_ конура",
591,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
592,institution,,,lat,,n,n,лагир,лагерь,
593,dexis,in_inside.location,absence of movement,ess,,adv__DEM,adv,гьалълъа,здесь_ сюда,
594,abstract_status,,,lat,change of status __ into_new_period,n,n,пе́нси,пенсия,
595,event,,,lat,,n,n,мавлид,рел. мавлюд (стихотворное жизнеописание пророка Мухаммада_ читаемое хором в честь его дня рождения),
596,institution,in_institution,,lat,,n,n,а́рми,армия,
597,abstract_status,,,lat,change of status __ into_new_period,n,n,пе́нси,пенсия,
598,abstract,,,,purpose,n,n,ремонт,ремонт,
599,mass,inter,motion towards (lat__term),lat,,n,n,унщи,земля,
600,mass,inter,motion towards (lat__term),lat,,n,n,унщи,земля,
601,container,in_container_tight,motion towards (lat__term),lat,,n,n,йашикI ,ящик,
602,container,in_container,motion towards (lat__term),lat,,n,n,ссумка,сумка,
603,item,in_inside.location,,lat,,n,n,матIу,зеркало,
604,building,in_room,motion towards (lat__term),lat,,n,n,машкид,мечеть,
605,geo,in_inside.location,motion towards (lat__term),lat,,n,n,мигъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
606,geo,in_inside.location,motion towards (lat__term),lat,,n,n,мигъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
607,container,in_container_tight,absence of movement__motion towards,ess__lat,,n,n,къегьен,мешок,
608,container,in_container_tight,absence of movement,ess,,n,n,багажникI?,багажник,
609,container,in_container_tight,motion towards (lat__term),lat,,n,n,чумада́н,чемодан,
610,container,in_container_tight,motion towards (lat__term),lat,,n,n,чумада́н,чемодан,
611,bodypart__wrap,3D_contact_wrap.insrt,,lat,manner,n,n,гъарсси,кожа,
612,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
613,building,in_room,motion towards (lat__term),lat,,n,n,михIмара,минарет,
614,abstract,,,lat,,num_DAT__OBL,num_OBL,гьацIада>гьацIадалълъи,десять,
615,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
616,institution,in_institution,,lat,,n,n,йасли,ясли,
617,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
618,event,,,lat,,n,n,о́тпуска,отпуск,
619,aggregate_self-shaped,inter,motion towards (lat__term),lat,,n,n,очери,очередь,
620,item,in_inside.location,absence of movement__motion towards,ess__lat,,n,n,бешен,гнездо_ постель,
621,abstract,,,lat,,n,n,пассихIлъи,красноречие,
622,mass,inter_ingredient,motion towards (lat__term),lat,,n,n,щинв,молоко,
623,abstract_status,,,lat,change of status __ into_new_period,n,n,пенси,пенсия,
624,building,,,,transformation_result,n,n,петер,постоялый двор,
625,event,,,lat,,n,n,пудбол,футбол,
626,mass,inter_ingredient,motion towards (lat__term),lat,,n,n,чурпа,суп,
627,container,in_container,motion towards (lat__term),lat,,n,n,пучка,бочка,
628,building_room,in_inside.location,motion towards (lat__term),lat,,n,n,рагъи,балкон,
629,location,in_inside.location,motion towards (lat__term),lat,,n,n,райцентра,райцентр,
630,abstract,unclear,motion towards (lat__term),lat,,n,n,на,"вещь_ предмет; явление",
631,time_span,,,ess,,n,n,беххи,край (нижний),
632,location_generic,,,ess,,n,n,бакьи,середина ,
633,location_generic,,,ess,,n,n,бакьи,середина ,
634,location_generic,in_inside.location,motion towards (lat__term),lat,,n,n,бакьи,середина ,
635,institution,in_institution,,lat,,n,n,а́рми,армия,
636,edge_narrow.space,in_inside.location,motion towards (lat__term),lat,,n,n,ли,вершина макушка острие кончик,
637,institution,in_room,,ess,,n,n,школа,школа,
638,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
639,dexis,in_inside.location,absence of movement,ess,,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
640,abstract,,,,stimulus?,n,n,гIамал,характер,
641,container_dish,in_container,motion towards (lat__term),lat,,n,n,самавар,самовар,
642,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
643,event,,,lat,,n,n,сессийа,сессия,
644,unclear,,unclear,unclear,manner,n,n,сужда,рел. земной поклон,
645,unclear,,,,manner,n,n,сужда,рел. земной поклон,
646,unclear,,,,manner,n,n,сужда,рел. земной поклон,
647,event,,,lat,,n,n,ссабрани,собрание,
648,measuring_unit,in_container,,lat,math:consist of,n,n,рахху,раху (мера объёма сыпучих веществ_ равная 20 йакъе,
649,toponym,in_inside.location,motion towards (lat__term),lat,,n,n,масква?,Москва,
650,edge_narrow.space,in_inside.location,motion towards (lat__term),lat,,n,n,ссери,поворот,
651,toponym,in_inside.location,motion towards (lat__term),lat,,n,n,ссибир,Сибирь,
652,mass,inter,motion towards (lat__term),lat,,n,n,хъвахъу,мука,
653,building,in_room,motion towards (lat__term),lat,,n,n,машкид,мечеть,
654,location,in_inside.location_settlement,motion towards (lat__term),lat,,n,n,тахшагьар,столица,
655,location,in_inside.location_settlement,absence of movement,ess,,n,n,тахшагьар,столица,
656,event,,,lat,,n,n,театир,театр,
657,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
658,container_quazi,in_container,path,path,,n,n,турба ,труба,
659,mass,inter,motion towards (lat__term),lat,,n,n,тури,рассол,
660,institution,in_institution,,lat,,n,n,туснахъ,тюрьма,
661,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
662,bodypart>location,in_hole,motion towards (lat__term),lat,,adv<n,adv,гьай>гьа.ди__гьарде,глаз>на глазах__наяву,
663,bodypart,in_hole,motion towards (lat__term),lat,,n,n,гьантIукIа,ухо,
664,bodypart,in_hole,motion towards (lat__term),lat,,n,n,миар,нос,
665,institution,in_institution,,lat,,n,n,университет,университет,
666,building,in_room,motion towards (lat__term),lat,,n,n,ушкол,школа,
667,bodily_location,in_container,motion towards (lat__term),lat,,adv<n_LAT,adv,хеа,в рот____во рту,
668,bodily_location,in_container,source,source,,adv<n_LAT,adv,хеа,в рот____во рту,
669,human,POSS,,source,POSS_source,adj,adj ,гьекIуб,чужой,
670,bodily_location,in_container,absence of movement,ess,,adv<n_LAT,adv,хеа,в рот____во рту,
671,dexis,in_inside.location,absence of movement,ess,,adv<DEM,adv,гьу>гьулълъа,это>туда_ там_ тот,
672,institution,in_room,,lat,,n,n,завод,завод,
673,container,in_container,,lat,target of sense perception,n,n,хъурщ,выдвижной ящик (стола_ шкафа),
674,container_hole,in_inside.location,motion towards (lat__term),lat,,adv,adv,хваъа_хьуму>хьудилълъу,в могиле (могила),
675,location,in_inside.location_settlement,motion towards (lat__term),lat,,n,n,город?,город,
676,abstract_status,,,lat,change of status __ into_new_period,n,n,пе́нси,пенсия,
677,aggregate,,,lat,transformation_result,num,num,цеб,один,
678,aggregate,,,lat,transformation_result,num,num,цеб,один,
679,aggregate,,,lat,transformation_result,num,num,цеб,один,
680,aggregate,,,lat,transformation_result,num,num,цеб,один,
681,geo,near_contact,motion towards (lat__term),lat,,n,n,цIцIай,звезда(небесное тело),
682,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
683,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
684,mass,inter,motion towards (lat__term),lat,,n,n,унщи,земля,
685,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
686,deixis,in_inside.location,absence of movement,ess,,adv__DEM,adv,гьалъа,здесь_ сюда,
687,deixis,in_inside.location,,ess,,adv__DEM,adv,гьалъа,здесь_ сюда,
688,abstract,,,,maths,num,num,гьабуда,три,
689,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
690,edge_narrow.space,in_inside.location,motion towards (lat__term),lat,,n,n,(э)ли,макушка,
691,aggregate_self-shaped,inter,motion towards (lat__term),lat,,n,n,эрга,очередь_ ряд_ шеренга,
692,event,,motion towards (lat__term),lat,,n,n,кино́,кино_ фильм,
693,time_point,,motion towards (lat__term),lat,,num_sem shift,num,бешунуда,сто ,
694,>toponym,in_inside.location,absence of movement,ess,,n,n,беххи,край (нижний),
695,quantifier,in_inside.location,motion towards (lat__term),lat,,adj,adj,бакъаб,любой,
696,event,,motion towards (lat__term),lat,,n,n,бертин,свадьба,
697,event,,motion towards (lat__term),lat,,n,n,бертин,свадьба,
698,building,in_room,motion towards (lat__term),lat,,n,n,ушкол,школа,
699,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
700,bodypart,3D_contact,motion towards (lat__term),lat,,n,n,гару,шея,
701,bodypart,,,,manner__эталон сравнения?,n,n,гару,шея,
702,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
703,human_aggr,inter,prolative__prosecutive,prosecutive,,n,n,гьани,село_ аул_ деревня,
704,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
705,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
706,time_span,,absence of movement,ess,,n,n,къену,лето,
707,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
708,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
709,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
710,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
711,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
712,location,in_inside.location,motion towards (lat__term),lat,,n,n,гьани,село_ аул_ деревня,
713,location,in_inside.location,motion towards (lat__term),lat,,n,n,базар,рынок,
714,human_aggr,inter?,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
715,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
716,human_aggr,inter?,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
717,human_aggr,inter?,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
718,human_aggr,inter?,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
719,human_aggr,inter?,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
720,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
721,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
722,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
723,bodypart,3D_contact,motion towards (lat__term),lat,,n,n,гару,шея,
724,corbel,3D_contact_corbel,motion towards (lat__term),lat,,n,n,гьанкIва,гвоздь,
725,thread,keep_in.balance,motion towards (lat__term),lat,,n,n,кара,проволока_ провод,
726,bodypart,in_hole,motion towards (lat__term),lat,,n_PL,n_PL,гьантIукIа>гьантIукIабалъи,ухо>уши,
727,corbel,3D_contact_corbel,motion towards (lat__term),lat,,n,n,гьанкIва,гвоздь,
728,frames_holes_cracks,in_hole,path,path,,n,n,бежун,иголка_ метла_ веник,
729,building_part,inter,motion towards (lat__term),lat,,n,n,къинда,стена,
730,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
731,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
732,location,in_inside.location,prolative__prosecutive,prosecutive,,n,n,гьани,село_ аул_ деревня,
733,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
734,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,adv<DEM,adv,гьи́кьи,внизу_ вниз_ под,
735,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
736,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
737,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
738,building,in_room,motion towards (lat__term),lat,,adv<?,adv,иши,нареч. в значении в доме,
739,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
740,time_span,,absence of movement,ess,,n,n,ццибуру,зима,
741,time_span,,absence of movement,ess,,n,n,къену,лето,
742,time_span,,absence of movement,ess,,n,n,къену,лето,
743,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
744,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
745,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
746,bodypart,3D_contact,absence of movement,ess,,n,n,гару,шея,
747,human,POSS,,ess,POSS,n,n,ила-има,родители,
748,transport,unclear,motion towards (lat__term),lat,,n,n,пургон,фургон,
749,animal_transport,on,motion towards (lat__term),lat,,n,n,барти,жеребец,
750,transport,in_room,motion towards (lat__term),lat,,n,n,ваг(.)н,вагон,
751,transport,in_room,motion towards (lat__term),lat,,n,n,гама,корабль_ судно_ пароход,
752,transport,unclear,motion towards (lat__term),lat,,n,n,гьерцIа,лодка_ корыто,
753,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
754,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
755,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
756,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
757,location,in_inside.location,absence of movement,ess,,n,n,гьани,село_ аул_ деревня,
758,container,in_container,absence of movement,ess,,n,n,чанта,карман_ сума,
759,container,in_container,absence of movement,ess,,n,n,ишкаб,шкаф,
760,location,in_inside.location,absence of movement,ess,,n,n,азбар,двор,
761,location,in_inside.location,absence of movement,ess,,n,n,азбар,двор,
762,location,in_inside.location,absence of movement,ess,,n,n,азбар,двор,
763,location,in_inside.location,absence of movement,ess,,n,n,азбар,двор,
764,container_hole,in_container,absence of movement,ess,,n,n,баган,нора_ дыра_ отверстие_ щель,
765,item,in_inside.location,motion towards (lat__term),lat,,n,n,бешен,гнездо_ постель,
766,item,in_inside.location,motion towards (lat__term),lat,,n,n,бешен,гнездо_ постель,
767,item,in_inside.location,motion towards (lat__term),lat,,n,n,бешен,гнездо_ постель,
768,human_pro,,motion towards (lat__term),lat,manner,pro_GEN__OBL,pro_OBL,инщубда,3sg__GEN (гьSвда.GEN),
769,time_point,,absence of movement,ess,,num,num,бикьида,восемь,
770,institution,in_inside.location,absence of movement,ess,,n,n,машкид,мечеть,
771,location_unclear,in_inside.location,absence of movement,ess,,adv,adv,букIа-букIаб.лълъу ,нареч. на месте_ где было,
772,location_unclear,in_inside.location,absence of movement,ess,,adv,adv,букIабулълъу,"нареч. со знач. на месте; на старом месте; там_ где было",
773,location_unclear,in_inside.location,motion towards (lat__term),lat,,adv,adv,букIабулълъу,"нареч. со знач. на месте; на старом месте; там_ где было",
774,item,in_container,motion towards (lat__term),lat,,n,n,кини,колыбель_ люлька,
775,item,in_container,absence of movement,ess,,n,n,кини,колыбель_ люлька,
776,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,хьуму,могила,
777,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,хьуму,могила,
778,building,in_room,absence of movement,ess,,n,n,машкид,мечеть,
779,item,in_inside.location,absence of movement,ess,,n,n,бешен,гнездо_ постель,
780,geo,in_inside.location,absence of movement,ess,,n,n,гъада,ущелье,
781,container_dish,in_container,motion towards (lat__term),lat,,n,n,гъамакьуххур,большая_ глубокая тарелка (обычно эмали-рованная),
782,container_dish,on,absence of movement,ess,,n,n,гъами,поднос,
783,geo_water,in_inside.location__inter,absence of movement,ess,,n,n,регьа,море,
784,container,in_container,absence of movement,ess,,n,n,гъармасса,сундук,
785,item,near_contact,motion towards (lat__term),lat,,n,n,на,"вещь_ предмет; явление",
786,container,in_container,absence of movement,ess,,n,n,гъуртухъ,"шкатулка_ коробочка; сундучок_ пенал",
787,container,in_container,absence of movement,ess,,n,n,гъуртухъ,"шкатулка_ коробочка; сундучок_ пенал",
788,container,in_container,motion towards (lat__term),lat,,n,n,гъуртухъ,"шкатулка_ коробочка; сундучок_ пенал",
789,location,in_inside.location,absence of movement,ess,,v-INAN.PRS.PTCP-N,verbal forms,гьагъихаб,NA(видимый?сх),
790,location,in_inside.location,motion towards (lat__term),lat,,v-INAN.PRS.PTCP-N,verbal forms,гьагъихаб,NA(видимый?сх),
791,location,in_inside.location,absence of movement,ess,,v-INAN.PRS.PTCP-N,verbal forms,гьагъихаб,NA(видимый?сх),
792,bodypart>location,in_inside.location,absence of movement,ess,,adv<n,adv,гьай>гьа.ди__гьарде,глаз>на глазах__наяву,
793,container_dish,in_container,absence of movement,ess,,n,n,гьерцIа,лодка_ корыто,
794,time_point,,,ess,,num,num,инлIида,шесть,
795,container_dish,in_container,absence of movement,ess,,n,n,джаргъу,сковородка,
796,location_remote,in_inside.location,absence of movement,ess,,n,n,жагьандаман,преисподня_ тартарары,
797,bodypart,in_inside.location,absence of movement,ess,,n,n,интар,пазуха (пространство между грудью_ жи-вотом_ прилегающей одеждой),
798,bodypart,in_inside.location,motion towards (lat__term),lat,,n,n,интар,пазуха (пространство между грудью_ жи-вотом_ прилегающей одеждой),
799,bodypart,in_container,absence of movement,ess,,n,n,исиб,полость тела (человека)_ чрево,
800,human,,,,unclear (having),n,n,ма́кIи,ребенок,
801,bodypart,in_container,absence of movement,ess,,n,n,исиб,полость тела (человека)_ чрево,
802,location,in_inside.location_unclear,motion towards (lat__term),lat,,v-INAN.PRS.PTCP-N,verbal forms,квадабацIихаб,NA(в зоне доставания?),
803,container,in_container_tight,motion towards (lat__term),lat,,n,n,къегьен,мешок,
804,building,in_room,absence of movement,ess,,n,n,къуру,"помещение для телят; курятник_ лачуга_ конура",
805,item,in_inside.location,absence of movement,ess,,n,n,бешен,гнездо_ постель,
806,unclear,3D_contact_fixation_mediated,motion towards (lat__term),lat,,n,n,гьума,столб,
807,building_хозпостройки,3D_contact_fixation_mediated,motion towards (lat__term),lat,,n,n,хIарццин,"стойло; ясли в хлеву (кормушка для скота)",
808,building,in_room,absence of movement,ess,,n,n,машкид,мечеть,
809,location,in_inside.location,absence of movement,ess,,v-INAN.PRS.PTCP-N,verbal forms,винси>винсихаб,NA(отыскиваемый<отыскиваться),
810,geo_water,inter,absence of movement,ess,,n,n,регьа,море,
811,geo,in_inside.location,absence of movement,ess,,n,n,парсса,крутая скала_ ложбина,
812,geo,in_inside.location,absence of movement,ess,,n,n,парсса,крутая скала_ ложбина,
813,geo,in_inside.location,absence of movement,ess,,n,n,пастIан,огород,
814,geo_water,inter,absence of movement,ess,,n,n,регьа,море,
815,geo_water,inter,absence of movement,ess,,n,n,регьа,море,
816,building_room,in_room,absence of movement,ess,,n,n,падва́л,подвал,
